counting_en,counting_tr,counting_ur
Zero,S?f?r,???
One,Bir,???
Two,?ki,??
Three,Üç,???
Four,Dört,???
Five,Be?,????
Six,Alt?,??
Seven,Yedi,???
Eight,Sekiz,???
Nine,Dokuz,??
Ten,On,??
Eleven,On bir,?????
Twelve,On iki,????
Thirteen,On üç,????
Fourteen,On dört,????
Fifteen,On be?,?????
Sixteen,On alt?,????
Seventeen,On yedi,????
Eighteen,On sekiz,??????
Nineteen,On dokuz,?????
Twenty,Yirmi,???
Twenty one,Yirmi bir,????
Twenty two,Yirmi iki,?????
Twenty three,Yirmi üç,????
Twenty four,Yirmi dört,?????
Twenty five,Yirmi be?,????
Twenty six,Yirmi alt?,?????
Twenty seven,Yirmi yedi,??????
Twenty eight,Yirmi sekiz,???????
Twenty nine,Yirmi dokuz,?????
Thirty,Otuz,???
Thirty one,Otuz bir,?????
Thirty two,Otuz iki,????
Thirty three,Otuz üç,??????
Thirty four,Otuz dört,??????
Thirty five,Otuz be?,??????
Thirty six,Otuz alt?,?????
Thirty seven,Otuz yedi,??????
Thirty eight,Otuz sekiz,?????
Thirty nine,Otuz dokuz,?????
Forty,K?rk,?????
Forty one,K?rk bir,???????
Forty two,K?rk iki,??????
Forty three,K?rk üç,????????
Forty four,K?rk dört,??????
Forty five,K?rk be?,????????
Forty six,K?rk alt?,???????
Forty seven,K?rk yedi,????????
Forty eight,K?rk sekiz,???????
Forty nine,K?rk dokuz,???????
Fifty,Elli,????
Fifty one,Elli bir,?????
Fifty two,Elli iki,????
Fifty three,Elli üç,????
Fifty four,Elli dört,???
Fifty five,Elli be?,????
Fifty six,Elli alt?,????
Fifty seven,Elli yedi,?????
Fifty eight,Elli sekiz,??????
Fifty nine,Elli dokuz,?????
Sixty,Altm??,????
Sixty one,Altm?? bir,?????
Sixty two,Altm?? iki,?????
Sixty three,Altm?? üç,??????
Sixty four,Altm?? dört,??????
Sixty five,Altm?? be?,??????
Sixty six,Altm?? alt?,???????
Sixty seven,Altm?? yedi,?????
Sixty eight,Altm?? sekiz,?????
Sixty nine,Altm?? dokuz,?????
Seventy,Yetmi?,???
Seventy one,Yetmi? bir,?????
Seventy two,Yetmi? iki,????
Seventy three,Yetmi? üç,????
Seventy four,Yetmi? dört,?????
Seventy five,Yetmi? be?,?????
Seventy six,Yetmi? alt?,?????
Seventy seven,Yetmi? yedi,????
Seventy eight,Yetmi? sekiz,??????
Seventy nine,Yetmi? dokuz,?????
Eighty,Seksen,????
Eighty one,Seksen bir,??????
Eighty two,Seksen iki,?????
Eighty three,Seksen üç,??????
Eighty four,Seksen dört,??????
Eighty five,Seksen be?,?????
Eighty six,Seksen alt?,??????
Eighty seven,Seksen yedi,?????
Eighty eight,Seksen sekiz,??????
Eighty nine,Seksen dokuz,?????
Ninety,Doksan,???
Ninety one,Doksan bir,???????
Ninety two,Doksan iki,?????
Ninety three,Doksan üç,??????
Ninety four,Doksan dört,???????
Ninety five,Doksan be?,??????
Ninety six,Doksan alt?,???????
Ninety seven,Doksan yedi,??????
Ninety eight,Doksan sekiz,???????
Ninety nine,Doksan dokuz,??????
Hundred,Yüz,??
